Name,Level,Type,Rarity,Attack,Defense,Armor,Damage,HP,Stamina,Enhancements
Slug Chomper Slime Gloves,5775,Gloves,Crystalline (Non-Repairable),3510,0,8190,0,0,,
Slug Chomper Slime Ring,5775,Ring,Crystalline (Non-Repairable),3460,0,8240,0,0,,
Slug Chomper Slime Rune,5775,Rune,Crystalline (Non-Repairable),3560,0,8140,0,0,,
Mariners Helm,5761,Helmet,Rare,0,0,3459,0,8071,,
Mariners Rune,5761,Rune,Rare,0,0,3509,0,8021,,
Porifor Armor,5850,Armor,Unique,3563,0,0,8147,0,,
Porifor Shield,5850,Shield,Unique,3513,0,0,8197,0,,
Starbane Shield,5850,Shield,Super Elite,0,0,10,10,0,,
Starbane Sword,5850,Weapon,Super Elite,0,0,10,10,0,,
Gentathor Gloves,5830,Gloves,Rare,8168,3500,0,0,0,,
Gentathor Ring,5830,Ring,Rare,8118,3550,0,0,0,,
Tethoths Rune,5826,Rune,Common,0,0,4661,0,6991,,
Boots of Jalanath,5825,Boots,Unique,3498,0,0,8162,0,,
Shield of Jalanath,5825,Shield,Unique,3548,0,0,8112,0,,
Amulet of Heinio,5819,Amulet,Rare,0,8152,0,3494,0,,
Ring of Heinio,5819,Ring,Rare,0,8152,0,3494,0,,
Rune of Ventaroc,5801,Rune,Common,8121,3481,0,0,0,,
Dagger of Welroth,5800,Weapon,Unique,0,0,3483,0,8127,,
Ring of Welroth,5800,Ring,Unique,0,0,3483,0,8127,,
Gloves of Raddagor,5780,Gloves,Rare,8097,0,0,3471,0,,
Helm of Raddagor,5780,Helmet,Rare,8047,0,0,3521,0,,
Cuirass of Bilrath,5776,Helmet,Common,0,6931,4621,0,0,,
Bakab Battler Axe,5775,Weapon,Unique,8142,0,0,3418,0,,
Bakab Battler Buckler,5775,Shield,Unique,8042,0,0,3518,0,,
Bakab Battler Cuirass,5775,Armor,Unique,8092,0,0,3468,0,,
Slug Chomper Slime Gloves,5775,Gloves,Crystalline (Non-Repairable),3510,0,8190,0,0,,
Slug Chomper Slime Ring,5775,Ring,Crystalline (Non-Repairable),3460,0,8240,0,0,,
Slug Chomper Slime Rune,5775,Rune,Crystalline (Non-Repairable),3560,0,8140,0,0,,
Mariners Helm,5761,Helmet,Rare,0,0,3459,0,8071,,
Mariners Rune,5761,Rune,Rare,0,0,3509,0,8021,,
Helm of Telenoth,4376,Helmet,Common,0,0,2626,0,6126,,
Emperor Hydra Helm,4375,Helmet,Legendary,2670,0,0,6230,0,,
Emperor Hydra Shield,4375,Shield,Legendary,2720,0,0,6180,0,,
Smith Lord Amulet,4375,Amulet,Unique,6082,2678,0,0,0,,
Smith Lord Cuirass,4375,Armor,Unique,6132,2628,0,0,0,,
Farellian Helm,4367,Helmet,Rare,0,0,5245,0,3497,,
Farellian Spear,4367,Weapon,Rare,0,0,5195,0,3547,,
Gathanor Ring,4351,Ring,Common,5221,0,0,3481,0,,
Chlodwig's Amulet,4350,Amulet,Crystalline (Non-Repairable),6220,0,0,2705,0,,
Chlodwig's Gloves,4350,Gloves,Crystalline (Non-Repairable),6270,0,0,2655,0,,
Fillyoo Rex Boots,4350,Boots,Unique,6747,0,0,1963,0,,
Fillyoo Rex Shield,4350,Shield,Unique,6797,0,0,1913,0,,
Ragnar's Grieves,4350,Boots,Legendary,2655,0,0,6195,0,,
Ragnar's Shield,4350,Shield,Legendary,2705,0,0,6145,0,,
Toranus Honga Helm,4347,Helmet,Rare,0,5221,3481,0,0,,
Toranus Honga Rune,4347,Rune,Rare,0,5171,3531,0,0,,
Lonarak Cuirass,4326,Armor,Common,0,2596,6056,0,0,,
Venarian Elf Blade,4325,Weapon,Unique,6012,0,0,2648,0,,
Venarian Elf Ring,4325,Ring,Unique,6062,0,0,2598,0,,
Venarian Nether Amulet,4308,Amulet,Rare,0,0,5124,0,3500,,
Venarian Nether Boots,4308,Boots,Rare,0,0,5174,0,3450,,
Uthenass Sword,4301,Weapon,Common,6021,0,0,2581,0,,
Bag of Cloves,4300,Quest Item,Unique,0,0,0,0,0,,
Basket of Cranberries,4300,Quest Item,Unique,0,0,0,0,0,,
Bheur Lords Cuirass,4300,Armor,Unique,2583,0,6027,0,0,,
Helm of Telenoth,4376,Helmet,Common,0,0,2626,0,6126,,
Emperor Hydra Helm,4375,Helmet,Legendary,2670,0,0,6230,0,,
Emperor Hydra Shield,4375,Shield,Legendary,2720,0,0,6180,0,,
Smith Lord Amulet,4375,Amulet,Unique,6082,2678,0,0,0,,
Smith Lord Cuirass,4375,Armor,Unique,6132,2628,0,0,0,,
Farellian Helm,4367,Helmet,Rare,0,0,5245,0,3497,,
Farellian Spear,4367,Weapon,Rare,0,0,5195,0,3547,,
Gathanor Ring,4351,Ring,Common,5221,0,0,3481,0,,
Chlodwig's Amulet,4350,Amulet,Crystalline (Non-Repairable),6220,0,0,2705,0,,
Chlodwig's Gloves,4350,Gloves,Crystalline (Non-Repairable),6270,0,0,2655,0,,
Fillyoo Rex Boots,4350,Boots,Unique,6747,0,0,1963,0,,
Fillyoo Rex Shield,4350,Shield,Unique,6797,0,0,1913,0,,
Ragnar's Grieves,4350,Boots,Legendary,2655,0,0,6195,0,,
Ragnar's Shield,4350,Shield,Legendary,2705,0,0,6145,0,,
Toranus Honga Helm,4347,Helmet,Rare,0,5221,3481,0,0,,
Toranus Honga Rune,4347,Rune,Rare,0,5171,3531,0,0,,
Lonarak Cuirass,4326,Armor,Common,0,2596,6056,0,0,,
Venarian Elf Blade,4325,Weapon,Unique,6012,0,0,2648,0,,
Venarian Elf Ring,4325,Ring,Unique,6062,0,0,2598,0,,
Venarian Nether Amulet,4308,Amulet,Rare,0,0,5124,0,3500,,
Venarian Nether Boots,4308,Boots,Rare,0,0,5174,0,3450,,
Uthenass Sword,4301,Weapon,Common,6021,0,0,2581,0,,
Bag of Cloves,4300,Quest Item,Unique,0,0,0,0,0,,
Basket of Cranberries,4300,Quest Item,Unique,0,0,0,0,0,,
Bheur Lords Cuirass,4300,Armor,Unique,2583,0,6027,0,0,,
Helm of Telenoth,4376,Helmet,Common,0,0,2626,0,6126,,
Emperor Hydra Helm,4375,Helmet,Legendary,2670,0,0,6230,0,,
Emperor Hydra Shield,4375,Shield,Legendary,2720,0,0,6180,0,,
Smith Lord Amulet,4375,Amulet,Unique,6082,2678,0,0,0,,
Smith Lord Cuirass,4375,Armor,Unique,6132,2628,0,0,0,,
Farellian Helm,4367,Helmet,Rare,0,0,5245,0,3497,,
Farellian Spear,4367,Weapon,Rare,0,0,5195,0,3547,,
Gathanor Ring,4351,Ring,Common,5221,0,0,3481,0,,
Chlodwig's Amulet,4350,Amulet,Crystalline (Non-Repairable),6220,0,0,2705,0,,
Chlodwig's Gloves,4350,Gloves,Crystalline (Non-Repairable),6270,0,0,2655,0,,
Fillyoo Rex Boots,4350,Boots,Unique,6747,0,0,1963,0,,
Fillyoo Rex Shield,4350,Shield,Unique,6797,0,0,1913,0,,
Ragnar's Grieves,4350,Boots,Legendary,2655,0,0,6195,0,,
Ragnar's Shield,4350,Shield,Legendary,2705,0,0,6145,0,,
Toranus Honga Helm,4347,Helmet,Rare,0,5221,3481,0,0,,
Toranus Honga Rune,4347,Rune,Rare,0,5171,3531,0,0,,
Lonarak Cuirass,4326,Armor,Common,0,2596,6056,0,0,,
Venarian Elf Blade,4325,Weapon,Unique,6012,0,0,2648,0,,
Venarian Elf Ring,4325,Ring,Unique,6062,0,0,2598,0,,
Venarian Nether Amulet,4308,Amulet,Rare,0,0,5124,0,3500,,
Venarian Nether Boots,4308,Boots,Rare,0,0,5174,0,3450,,
Uthenass Sword,4301,Weapon,Common,6021,0,0,2581,0,,
Bag of Cloves,4300,Quest Item,Unique,0,0,0,0,0,,
Basket of Cranberries,4300,Quest Item,Unique,0,0,0,0,0,,
Bheur Lords Cuirass,4300,Armor,Unique,2583,0,6027,0,0,,
Guardian Shield,3125,Shield,Unique,4332,0,0,1928,0,,
Guardian Weapon,3125,Weapon,Unique,4382,0,0,1878,0,,
Sauins Robes,3125,Armor,Legendary,2560,3840,0,0,0,,
Sauins Shield,3125,Shield,Legendary,2610,3790,0,0,0,,
Fiender Cuirass,3106,Armor,Rare,2488,0,0,3732,0,,
Fiender Gauntlets,3106,Gloves,Rare,2538,0,0,3682,0,,
Amulet of Argonoth,3101,Amulet,Common,1861,0,0,0,4341,,
Glyph of Werethings,3100,Rune,Epic,0,8820,0,3780,0,,
Hairy Carrot,3100,Quest Item,Epic,0,0,0,0,0,,
Ice Serpent Amulet,3100,Amulet,Unique,4347,0,0,1863,0,,
Ice Serpent Shield,3100,Shield,Unique,4297,0,0,1913,0,,
Minion Helm,3100,Helmet,Legendary,0,0,2667,3619,64,,
Minion Shield,3100,Shield,Legendary,0,0,2717,3569,64,,
Recipe of Perchtas Lesser Rune,3100,Recipe,Epic,0,0,0,0,0,,
Recipe of Perchtas Rune,3100,Recipe,Epic,0,0,0,0,0,,
Recipe of Volfango Plum Pudding,3100,Recipe,Unique,0,0,0,0,0,,
Sack of Dried Fruit,3100,Quest Item,Unique,0,0,0,0,0,,
Sack of Flour,3100,Quest Item,Unique,0,0,0,0,0,,
Sack of Sugar,3100,Quest Item,Unique,0,0,0,0,0,,
Store of Nuts and Spices,3100,Quest Item,Unique,0,0,0,0,0,,
Volfango Alpha Fur Boots,3100,Boots,Unique,2484,0,0,3726,0,,
Volfango Alpha Fur Cuirass,3100,Armor,Unique,2484,0,0,3726,0,,
Volfango Plum Pudding,3100,Quest Item,Unique,0,0,0,0,0,,
Volfango Suet,3100,Quest Item,Unique,0,0,0,0,0,,
Monagoth Glacial Gloves,3078,Gloves,Rare,0,4315,1849,0,0,,
Guardian Shield,3125,Shield,Unique,4332,0,0,1928,0,,
Guardian Weapon,3125,Weapon,Unique,4382,0,0,1878,0,,
Sauins Robes,3125,Armor,Legendary,2560,3840,0,0,0,,
Sauins Shield,3125,Shield,Legendary,2610,3790,0,0,0,,
Fiender Cuirass,3106,Armor,Rare,2488,0,0,3732,0,,
Fiender Gauntlets,3106,Gloves,Rare,2538,0,0,3682,0,,
Amulet of Argonoth,3101,Amulet,Common,1861,0,0,0,4341,,
Glyph of Werethings,3100,Rune,Epic,0,8820,0,3780,0,,
Hairy Carrot,3100,Quest Item,Epic,0,0,0,0,0,,
Ice Serpent Amulet,3100,Amulet,Unique,4347,0,0,1863,0,,
Ice Serpent Shield,3100,Shield,Unique,4297,0,0,1913,0,,
Minion Helm,3100,Helmet,Legendary,0,0,2667,3619,64,,
Minion Shield,3100,Shield,Legendary,0,0,2717,3569,64,,
Recipe of Perchtas Lesser Rune,3100,Recipe,Epic,0,0,0,0,0,,
Recipe of Perchtas Rune,3100,Recipe,Epic,0,0,0,0,0,,
Recipe of Volfango Plum Pudding,3100,Recipe,Unique,0,0,0,0,0,,
Sack of Dried Fruit,3100,Quest Item,Unique,0,0,0,0,0,,
Sack of Flour,3100,Quest Item,Unique,0,0,0,0,0,,
Sack of Sugar,3100,Quest Item,Unique,0,0,0,0,0,,
Store of Nuts and Spices,3100,Quest Item,Unique,0,0,0,0,0,,
Volfango Alpha Fur Boots,3100,Boots,Unique,2484,0,0,3726,0,,
Volfango Alpha Fur Cuirass,3100,Armor,Unique,2484,0,0,3726,0,,
Volfango Plum Pudding,3100,Quest Item,Unique,0,0,0,0,0,,
Volfango Suet,3100,Quest Item,Unique,0,0,0,0,0,,
Monagoth Glacial Gloves,3078,Gloves,Rare,0,4315,1849,0,0,,
Guardian Shield,3125,Shield,Unique,4332,0,0,1928,0,,
Guardian Weapon,3125,Weapon,Unique,4382,0,0,1878,0,,
Sauins Robes,3125,Armor,Legendary,2560,3840,0,0,0,,
Sauins Shield,3125,Shield,Legendary,2610,3790,0,0,0,,
Fiender Cuirass,3106,Armor,Rare,2488,0,0,3732,0,,
Fiender Gauntlets,3106,Gloves,Rare,2538,0,0,3682,0,,
Amulet of Argonoth,3101,Amulet,Common,1861,0,0,0,4341,,
Glyph of Werethings,3100,Rune,Epic,0,8820,0,3780,0,,
Hairy Carrot,3100,Quest Item,Epic,0,0,0,0,0,,
Ice Serpent Amulet,3100,Amulet,Unique,4347,0,0,1863,0,,
Ice Serpent Shield,3100,Shield,Unique,4297,0,0,1913,0,,
Minion Helm,3100,Helmet,Legendary,0,0,2667,3619,64,,
Minion Shield,3100,Shield,Legendary,0,0,2717,3569,64,,
Recipe of Perchtas Lesser Rune,3100,Recipe,Epic,0,0,0,0,0,,
Recipe of Perchtas Rune,3100,Recipe,Epic,0,0,0,0,0,,
Recipe of Volfango Plum Pudding,3100,Recipe,Unique,0,0,0,0,0,,
Sack of Dried Fruit,3100,Quest Item,Unique,0,0,0,0,0,,
Sack of Flour,3100,Quest Item,Unique,0,0,0,0,0,,
Sack of Sugar,3100,Quest Item,Unique,0,0,0,0,0,,
Store of Nuts and Spices,3100,Quest Item,Unique,0,0,0,0,0,,
Volfango Alpha Fur Boots,3100,Boots,Unique,2484,0,0,3726,0,,
Volfango Alpha Fur Cuirass,3100,Armor,Unique,2484,0,0,3726,0,,
Volfango Plum Pudding,3100,Quest Item,Unique,0,0,0,0,0,,
Volfango Suet,3100,Quest Item,Unique,0,0,0,0,0,,
Monagoth Glacial Gloves,3078,Gloves,Rare,0,4315,1849,0,0,,
Unholy Shade Signet,2015,Ring,Rare,0,2827,1211,0,0,,
Armor of Zaale,2001,Armor,Common,0,3000,0,1002,0,,
Passionate Angel Boots,2001,Boots,Legendary,1661,2491,0,0,0,,
Passionate Angel Sword,2001,Weapon,Legendary,1711,2441,0,0,0,,
Purloined Platemail,2001,Quest Item,Legendary,0,0,0,0,0,,
Barghest Boots,2000,Boots,Super Elite,10,0,0,10,0,,
Barghest Rune,2000,Rune,Super Elite,10,0,0,10,0,,
Deep Freeze Boots,2000,Boots,Legendary,1245,0,0,2905,0,,
Deep Freeze Rune,2000,Rune,Legendary,1295,0,0,2855,0,,
Helmet of Fikbil,2000,Helmet,Unique,2010,0,2000,0,0,,
List of Sack of Quango Fish,2000,Recipe,Unique,0,0,0,0,0,,
Mirkas Abominable Boots,2000,Boots,Epic,0,0,2580,1720,0,,
Mirkas Abominable Greaves,2000,Boots,Epic,0,0,4920,3280,0,,
Quango Fish,2000,Quest Item,Common,0,0,0,0,0,,
Recipe of Akrisios Famine Armor,2000,Recipe,Legendary,0,0,0,0,0,,
Recipe of Akrisios Famine Ring,2000,Recipe,Legendary,0,0,0,0,0,,
Recipe of Gundisalvs Boots,2000,Recipe,Legendary,0,0,0,0,0,,
Recipe of Gundisalvs Shield,2000,Recipe,Legendary,0,0,0,0,0,,
Recipe of Shadow Weave Gauntlets,2000,Recipe,Epic,0,0,0,0,0,,
Recipe of Shadow Weave Gloves,2000,Recipe,Epic,0,0,0,0,0,,
Recipe of Sorcerers Focus Amulet,2000,Recipe,Legendary,0,0,0,0,0,,
Recipe of Sorcerers Shroud Rune,2000,Recipe,Legendary,0,0,0,0,0,,
Ring of Fikbil,2000,Ring,Unique,3000,0,1000,0,0,,
Ronin Armored Choker,2000,Amulet,Super Elite,0,0,10,10,0,,
Ronin Equipment Pack,2000,Quest Item,Super Elite,0,0,0,0,0,,
Unholy Shade Signet,2015,Ring,Rare,0,2827,1211,0,0,,
Armor of Zaale,2001,Armor,Common,0,3000,0,1002,0,,
Passionate Angel Boots,2001,Boots,Legendary,1661,2491,0,0,0,,
Passionate Angel Sword,2001,Weapon,Legendary,1711,2441,0,0,0,,
Purloined Platemail,2001,Quest Item,Legendary,0,0,0,0,0,,
Barghest Boots,2000,Boots,Super Elite,10,0,0,10,0,,
Barghest Rune,2000,Rune,Super Elite,10,0,0,10,0,,
Deep Freeze Boots,2000,Boots,Legendary,1245,0,0,2905,0,,
Deep Freeze Rune,2000,Rune,Legendary,1295,0,0,2855,0,,
Helmet of Fikbil,2000,Helmet,Unique,2010,0,2000,0,0,,
List of Sack of Quango Fish,2000,Recipe,Unique,0,0,0,0,0,,
Mirkas Abominable Boots,2000,Boots,Epic,0,0,2580,1720,0,,
Mirkas Abominable Greaves,2000,Boots,Epic,0,0,4920,3280,0,,
Quango Fish,2000,Quest Item,Common,0,0,0,0,0,,
Recipe of Akrisios Famine Armor,2000,Recipe,Legendary,0,0,0,0,0,,
Recipe of Akrisios Famine Ring,2000,Recipe,Legendary,0,0,0,0,0,,
Recipe of Gundisalvs Boots,2000,Recipe,Legendary,0,0,0,0,0,,
Recipe of Gundisalvs Shield,2000,Recipe,Legendary,0,0,0,0,0,,
Recipe of Shadow Weave Gauntlets,2000,Recipe,Epic,0,0,0,0,0,,
Recipe of Shadow Weave Gloves,2000,Recipe,Epic,0,0,0,0,0,,
Recipe of Sorcerers Focus Amulet,2000,Recipe,Legendary,0,0,0,0,0,,
Recipe of Sorcerers Shroud Rune,2000,Recipe,Legendary,0,0,0,0,0,,
Ring of Fikbil,2000,Ring,Unique,3000,0,1000,0,0,,
Ronin Armored Choker,2000,Amulet,Super Elite,0,0,10,10,0,,
Ronin Equipment Pack,2000,Quest Item,Super Elite,0,0,0,0,0,,
Unholy Shade Signet,2015,Ring,Rare,0,2827,1211,0,0,,
Armor of Zaale,2001,Armor,Common,0,3000,0,1002,0,,
Passionate Angel Boots,2001,Boots,Legendary,1661,2491,0,0,0,,
Passionate Angel Sword,2001,Weapon,Legendary,1711,2441,0,0,0,,
Purloined Platemail,2001,Quest Item,Legendary,0,0,0,0,0,,
Barghest Boots,2000,Boots,Super Elite,10,0,0,10,0,,
Barghest Rune,2000,Rune,Super Elite,10,0,0,10,0,,
Deep Freeze Boots,2000,Boots,Legendary,1245,0,0,2905,0,,
Deep Freeze Rune,2000,Rune,Legendary,1295,0,0,2855,0,,
Helmet of Fikbil,2000,Helmet,Unique,2010,0,2000,0,0,,
List of Sack of Quango Fish,2000,Recipe,Unique,0,0,0,0,0,,
Mirkas Abominable Boots,2000,Boots,Epic,0,0,2580,1720,0,,
Mirkas Abominable Greaves,2000,Boots,Epic,0,0,4920,3280,0,,
Quango Fish,2000,Quest Item,Common,0,0,0,0,0,,
Recipe of Akrisios Famine Armor,2000,Recipe,Legendary,0,0,0,0,0,,
Recipe of Akrisios Famine Ring,2000,Recipe,Legendary,0,0,0,0,0,,
Recipe of Gundisalvs Boots,2000,Recipe,Legendary,0,0,0,0,0,,
Recipe of Gundisalvs Shield,2000,Recipe,Legendary,0,0,0,0,0,,
Recipe of Shadow Weave Gauntlets,2000,Recipe,Epic,0,0,0,0,0,,
Recipe of Shadow Weave Gloves,2000,Recipe,Epic,0,0,0,0,0,,
Recipe of Sorcerers Focus Amulet,2000,Recipe,Legendary,0,0,0,0,0,,
Recipe of Sorcerers Shroud Rune,2000,Recipe,Legendary,0,0,0,0,0,,
Ring of Fikbil,2000,Ring,Unique,3000,0,1000,0,0,,
Ronin Armored Choker,2000,Amulet,Super Elite,0,0,10,10,0,,
Ronin Equipment Pack,2000,Quest Item,Super Elite,0,0,0,0,0,,
Cord of Weakness,1560,Quest Item,Rare,0,0,0,0,0,,
Icon of Lindarsil,1560,Quest Item,Unique,0,0,0,0,0,,
Knot of Bitterness,1560,Quest Item,Unique,0,0,0,0,0,,
Mark of Crestoun,1560,Ring,Rare,0,0,1667,1461,0,,
Rune of the Other,1560,Rune,Unique,1565,0,0,1585,0,,
Sword Of Crestoun,1560,Weapon,Rare,0,0,1704,1424,0,,
Three Copper Blessings,1560,Quest Item,Unique,0,0,0,0,0,,
Three Copper Blessings Recipe,1560,Recipe,Unique,0,0,0,0,0,,
Ward of the Other,1560,Shield,Unique,1280,0,0,1870,0,,
Amulet of Falorin,1559,Amulet,Common,1890,0,0,1228,0,,
Earth Gemstone,1558,Quest Item,Rare,0,0,0,0,0,,
Essence Bomb,1558,Quest Item,Unique,0,0,0,0,0,,
Gloves of Mysan,1558,Gloves,Common,1483,0,0,1633,0,,
Golem Rune,1558,Quest Item,Rare,0,0,0,0,0,,
Knot of Bitterness Recipe,1558,Recipe,Unique,0,0,0,0,0,,
Large Source Shard,1558,Quest Item,Unique,0,0,0,0,0,,
Makeshift Device,1558,Quest Item,Unique,0,0,0,0,0,,
Makeshift Device Recipe,1558,Recipe,Unique,0,0,0,0,0,,
Shield of Torth,1558,Shield,Common,0,1760,0,1356,0,,
Slab of Rock,1558,Quest Item,Rare,0,0,0,0,0,,
Small Cauldron,1558,Quest Item,Rare,0,0,0,0,0,,
Armor of Lath,1557,Armor,Common,1364,0,1750,0,0,,
Brothans Key,1557,Quest Item,Unique,0,0,0,0,0,,
Clean Ligament,1557,Quest Item,Rare,0,0,0,0,0,,
Flawless Heart Blood,1557,Component,Rare,0,0,0,0,0,,
Cord of Weakness,1560,Quest Item,Rare,0,0,0,0,0,,
Icon of Lindarsil,1560,Quest Item,Unique,0,0,0,0,0,,
Knot of Bitterness,1560,Quest Item,Unique,0,0,0,0,0,,
Mark of Crestoun,1560,Ring,Rare,0,0,1667,1461,0,,
Rune of the Other,1560,Rune,Unique,1565,0,0,1585,0,,
Sword Of Crestoun,1560,Weapon,Rare,0,0,1704,1424,0,,
Three Copper Blessings,1560,Quest Item,Unique,0,0,0,0,0,,
Three Copper Blessings Recipe,1560,Recipe,Unique,0,0,0,0,0,,
Ward of the Other,1560,Shield,Unique,1280,0,0,1870,0,,
Amulet of Falorin,1559,Amulet,Common,1890,0,0,1228,0,,
Earth Gemstone,1558,Quest Item,Rare,0,0,0,0,0,,
Essence Bomb,1558,Quest Item,Unique,0,0,0,0,0,,
Gloves of Mysan,1558,Gloves,Common,1483,0,0,1633,0,,
Golem Rune,1558,Quest Item,Rare,0,0,0,0,0,,
Knot of Bitterness Recipe,1558,Recipe,Unique,0,0,0,0,0,,
Large Source Shard,1558,Quest Item,Unique,0,0,0,0,0,,
Makeshift Device,1558,Quest Item,Unique,0,0,0,0,0,,
Makeshift Device Recipe,1558,Recipe,Unique,0,0,0,0,0,,
Shield of Torth,1558,Shield,Common,0,1760,0,1356,0,,
Slab of Rock,1558,Quest Item,Rare,0,0,0,0,0,,
Small Cauldron,1558,Quest Item,Rare,0,0,0,0,0,,
Armor of Lath,1557,Armor,Common,1364,0,1750,0,0,,
Brothans Key,1557,Quest Item,Unique,0,0,0,0,0,,
Clean Ligament,1557,Quest Item,Rare,0,0,0,0,0,,
Flawless Heart Blood,1557,Component,Rare,0,0,0,0,0,,
Cord of Weakness,1560,Quest Item,Rare,0,0,0,0,0,,
Icon of Lindarsil,1560,Quest Item,Unique,0,0,0,0,0,,
Knot of Bitterness,1560,Quest Item,Unique,0,0,0,0,0,,
Mark of Crestoun,1560,Ring,Rare,0,0,1667,1461,0,,
Rune of the Other,1560,Rune,Unique,1565,0,0,1585,0,,
Sword Of Crestoun,1560,Weapon,Rare,0,0,1704,1424,0,,
Three Copper Blessings,1560,Quest Item,Unique,0,0,0,0,0,,
Three Copper Blessings Recipe,1560,Recipe,Unique,0,0,0,0,0,,
Ward of the Other,1560,Shield,Unique,1280,0,0,1870,0,,
Amulet of Falorin,1559,Amulet,Common,1890,0,0,1228,0,,
Earth Gemstone,1558,Quest Item,Rare,0,0,0,0,0,,
Essence Bomb,1558,Quest Item,Unique,0,0,0,0,0,,
Gloves of Mysan,1558,Gloves,Common,1483,0,0,1633,0,,
Golem Rune,1558,Quest Item,Rare,0,0,0,0,0,,
Knot of Bitterness Recipe,1558,Recipe,Unique,0,0,0,0,0,,
Large Source Shard,1558,Quest Item,Unique,0,0,0,0,0,,
Makeshift Device,1558,Quest Item,Unique,0,0,0,0,0,,
Makeshift Device Recipe,1558,Recipe,Unique,0,0,0,0,0,,
Shield of Torth,1558,Shield,Common,0,1760,0,1356,0,,
Slab of Rock,1558,Quest Item,Rare,0,0,0,0,0,,
Small Cauldron,1558,Quest Item,Rare,0,0,0,0,0,,
Armor of Lath,1557,Armor,Common,1364,0,1750,0,0,,
Brothans Key,1557,Quest Item,Unique,0,0,0,0,0,,
Clean Ligament,1557,Quest Item,Rare,0,0,0,0,0,,
Flawless Heart Blood,1557,Component,Rare,0,0,0,0,0,,
Helmet of Marcine,1389,Helmet,Common,950,0,1010,818,0,,
Amulet of Darsendar,1388,Amulet,Rare,0,0,1484,1296,0,,
Ring of Bontaar,1388,Ring,Common,1670,0,0,1106,0,,
Blue Tally,1387,Component,Rare,0,0,0,0,0,,
Boots of Ganvoll,1387,Boots,Common,460,1010,0,1304,0,,
Green Tally,1387,Component,Rare,0,0,0,0,0,,
Overseer Tally Stick,1387,Quest Item,Unique,0,0,0,0,0,,
